Student#	Class
1	3
2	3
3	2
4	4
5	4
6	4
7	3
8	2
9	3
10	4
11	2
12	4
13	1
14	1
15	4
16	4
17	4
18	4
19	4
20	4
21	1
22	1
23	3
24	2
25	4
26	3
27	4
28	1
29	3
30	1
31	3
32	1
33	2
34	1
35	1
36	1
37	2
38	3
39	3
40	2
41	2
42	4
43	3
44	4
45	1
46	1
47	3
48	4
49	1
50	3
51	1
52	4
53	2
54	1
55	1
56	2
57	2
58	2
59	3
60	2
61	3
62	3
63	4
64	2
65	2
66	2
67	1
68	3
69	3
70	1
71	4
72	2
73	2
74	2
75	1
76	4
77	3
78	3
79	1
80	3
81	2
82	3
83	2
84	4
85	3
86	1
87	1
88	4
89	1
90	4
91	2
