Student#	Class
1	1
2	3
3	2
4	3
5	4
6	4
7	3
8	2
9	3
10	3
11	2
12	2
13	1
14	1
15	2
16	2
17	2
18	4
19	4
20	4
21	1
22	1
23	3
24	2
25	4
26	3
27	1
28	4
29	3
30	1
31	4
32	1
33	1
34	2
35	4
36	4
37	2
38	4
39	4
40	1
41	2
42	2
43	3
44	1
45	4
46	4
47	1
48	3
49	1
50	3
51	2
52	3
53	4
54	3
55	2
56	4
57	2
58	2
59	3
60	4
61	3
62	3
63	4
64	4
65	2
66	4
67	1
68	1
69	4
70	4
71	2
72	2
73	2
74	3
75	1
76	1
77	3
78	4
79	1
80	3
81	2
82	2
83	1
84	3
85	3
86	1
87	1
88	1
89	1
90	3
91	2

