StudentNum	Request1	Request2	Request3	Request4
1	47	66	60	52
2	44	26	40	27
3	81	88	29	
4	82	58	39	52
5	25	45	41	
6	49	39	57	18
7	74	51	54	82
8	85	74	16	
9	33	83	59	26
10	55	74	4	43
11	57	42	52	82
12	3	34	86	17
13	79	87	32	75
14	18	22		
15	17	12	45	79
16	16			
17	86	12	3	81
18	57	49	6	14
19	5	38	63	
20	39	28	6	
21	91	37	65	30
22	14	65	89	43
23	83	9	33	40
24	65	74	82	91
25	5	44	27	
26	33	83	59	50
27	44	83	35	59
28	39	49	68	6
29	61	62	40	59
30	18	49	39	28
31	39	68	6	28
32	86	26	75	46
33	9	61	59	83
34	12	3	86	17
35	63	44	34	27
36	46	26	38	86
37	57	21		
38	26	46	73	
39	28	20	68	6
40	83	23	80	
41	5	86	45	73
42	16	55	57	58
43	55	74	82	54
44	27	63	35	23
45	15	5	86	80
46	36	32		
47	66	64	60	1
48	90	27	5	87
49	28	6	39	68
50	83	33	9	83
51	55	82	8	7
52	16	7	42	55
53	3	35		
54	82	43	55	74
55	54	43	74	82
56	83	5	90	65
57	39	18	42	74
58	74	82	55	11
59	9	83	62	26
60	69	64	47	
61	62	40	80	29
62	40	83	26	50
63	35	44	15	88
64	69	60	47	
65	65			
66	47	64	60	
67	22	89	18	14
68	28	39	49	
69	64	39	60	54
70	70			
71	71			
72	37			
73	41	45	86	80
74	54	82	60	43
75	75			
76	79	88	23	87
77	77			
78	18	7		
79	76	87	38	85
80	61	62	40	33
81	3	17	15	88
82	54	74	43	55
83	59	9	33	62
84	84			
85	43	74	52	51
86	75	32	17	45
87	79	13	76	5
88	44	81	3	12
89	22	67	39	74
90	48	56	5	83
91	91			

