 Name	TeacherRequest1	TeacherRequest1_Importance	TeacherRequest2	TeacherRequest2_Importance	TeacherRequest3	TeacherRequest3_Importance	TeacherRequest4	TeacherRequest4_Importance	TeacherRequest5	TeacherRequest5_Importance
1		2		2		2		2		2
2		2		2		2		2		2
3	81	2		2		2		2		2
4	10	2		2		2		2		2
5	25	2		2		2		2		2
6		2		2		2		2		2
7		2		2		2		2		2
8		2		2		2		2		2
9		2		2		2		2		2
10	4	1		2		2		2		2
11		2		2		2		2		2
12		2		2		2		2		2
13	79	2	32	2	87	2		2		2
14		2		2		2		2		2
15		2		2		2		2		2
16	42	2	82	2	58	2		2		2
17		2		2		2		2		2
18		2		2		2		2		2
19		2		2		2		2		2
20		2		2		2		2		2
21		2		2		2		2		2
22		2		2		2		2		2
23		2		2		2		2		2
24		2		2		2		2		2
25	5	2		2		2		2		2
26		2		2		2		2		2
27	79	2	88	2	33	2		1		2
28		2		2		2		2		2
29	61	1		2		2		2		2
30		2		2		2		2		2
31	6	1	20	1		2		2		2
32	75	2	86	2		2		2		2
33		2		2		2		2		2
34		2		2		2		2		2
35		2		2		2		2		2
36		2		2		2		2		2
37	57	2	21	1		2		2		2
38	19	1	73	1		2		2		2
39		2		2		2		2		2
40		2		2		2		2		2
41		2		2		2		2		2
42		2		2		2		2		2
43		2		2		2		2		2
44		2		2		2		2		2
45		2		2		2		2		2
46		2		2		2		2		2
47		2		2		2		2		2
48		2		2		2		2		2
49		2		2		2		2		2
50	9	2		2		2		2		2
51		2		2		2		2		2
52		2		2		2		2		2
53		2		2		2		2		2
54		2		2		2		2		2
55		2		2		2		2		2
56	38	1	45	1		2		2		2
57	21	1		2		2		2		2
58		2		2		2		2		2
59	9	1		2		2		2		2
60		2		2		2		2		2
61		2		2		2		2		2
62		2		2		2		2		2
63		2		2		2		2		2
64		2		2		2		2		2
65	37	2	21	1	89	1	20	1		2
66		2		2		2		2		2
67		2		2		2		2		2
68	28	1	6	1	49	1		2		2
69		1		1		1		1		1
70		1		1		1		1		1
71		1		1		1		1		1
72		2		2		2		2		2
73		2		2		2		2		2
74		2		2		2		2		2
75	86	2	32	2		2		2		2
76		2		2		2		2		2
77	59	2	27	1	23	2	61	2	9	1
78		2		2		2		2		2
79		2		2		2		2		2
80	61	2		2		2		2		2
81	3	2		2		2		2		2
82		2		2		2		2		2
83		2		2		2		2		2
84		2		2		2		2		2
85	43	2		2		2		2		2
86		2		2		2		2		2
87		2		2		2		2		2
88	44	2		2		2		2		2
89		2		2		2		2		2
90	48	2		2		2		2		2
91		2		2		2		2		2

